date,company,category,value,source
2008-12-01,CONECEL S.A.,PREPAGO,7195466.0,modalidad
2008-12-01,CONECEL S.A.,POSPAGO,928531.0,modalidad
2008-12-01,CONECEL S.A.,TTUP,32362.0,modalidad
2008-12-01,CONECEL S.A.,TOTAL_EMPRESA,8156359.0,modalidad
2008-12-01,CONECEL S.A.,CHECK_SUM_MODALIDADES,8156359.0,modalidad
2008-12-01,OTECEL S.A.,PREPAGO,2650539.0,modalidad
2008-12-01,OTECEL S.A.,POSPAGO,471981.0,modalidad
2008-12-01,OTECEL S.A.,TTUP,89402.0,modalidad
2008-12-01,OTECEL S.A.,TOTAL_EMPRESA,3211922.0,modalidad
2008-12-01,OTECEL S.A.,CHECK_SUM_MODALIDADES,3211922.0,modalidad
2008-12-01,CNT EP,PREPAGO,251763.0,modalidad
2008-12-01,CNT EP,POSPAGO,51576.0,modalidad
2008-12-01,CNT EP,TTUP,20628.0,modalidad
2008-12-01,CNT EP,TOTAL_EMPRESA,323967.0,modalidad
2008-12-01,CNT EP,CHECK_SUM_MODALIDADES,323967.0,modalidad
2008-12-01,TOTAL_MERCADO,TOTAL_MERCADO,11692248.0,modalidad
2008-12-01,TOTAL_MERCADO,CHECK_SUM_TOTALES_EMPRESA,11692248.0,modalidad
2009-01-01,CONECEL S.A.,PREPAGO,7318093.0,modalidad
2009-01-01,CONECEL S.A.,POSPAGO,937029.0,modalidad
2009-01-01,CONECEL S.A.,TTUP,32362.0,modalidad
2009-01-01,CONECEL S.A.,TOTAL_EMPRESA,8287484.0,modalidad
2009-01-01,CONECEL S.A.,CHECK_SUM_MODALIDADES,8287484.0,modalidad
2009-01-01,OTECEL S.A.,PREPAGO,2611348.0,modalidad
2009-01-01,OTECEL S.A.,POSPAGO,472223.0,modalidad
2009-01-01,OTECEL S.A.,TTUP,89633.0,modalidad
2009-01-01,OTECEL S.A.,TOTAL_EMPRESA,3173204.0,modalidad
2009-01-01,OTECEL S.A.,CHECK_SUM_MODALIDADES,3173204.0,modalidad
2009-01-01,CNT EP,PREPAGO,239991.0,modalidad
2009-01-01,CNT EP,POSPAGO,65357.0,modalidad
2009-01-01,CNT EP,TTUP,24921.0,modalidad
2009-01-01,CNT EP,TOTAL_EMPRESA,330269.0,modalidad
2009-01-01,CNT EP,CHECK_SUM_MODALIDADES,330269.0,modalidad
2009-01-01,TOTAL_MERCADO,TOTAL_MERCADO,11790957.0,modalidad
