date,company,category,value,source
2014-07-01,CONECEL S.A.,TELEFONIA,9130931.0,servicios
2014-07-01,CONECEL S.A.,TELEFONIA E INTERNET,2565589.0,servicios
2014-07-01,CONECEL S.A.,INTERNET,382987.0,servicios
2014-07-01,CONECEL S.A.,DATOS,166497.0,servicios
2014-07-01,CONECEL S.A.,TOTAL_EMPRESA,12246004.0,servicios
2014-07-01,CONECEL S.A.,CHECK_SUM_SERVICIOS,12246004.0,servicios
2014-07-01,OTECEL S.A.,TELEFONIA,3669534.0,servicios
2014-07-01,OTECEL S.A.,TELEFONIA E INTERNET,1293980.0,servicios
2014-07-01,OTECEL S.A.,INTERNET,63719.0,servicios
2014-07-01,OTECEL S.A.,DATOS,129299.0,servicios
2014-07-01,OTECEL S.A.,TOTAL_EMPRESA,5156532.0,servicios
2014-07-01,OTECEL S.A.,CHECK_SUM_SERVICIOS,5156532.0,servicios
2014-07-01,CNT EP,TELEFONIA,378067.0,servicios
2014-07-01,CNT EP,TELEFONIA E INTERNET,110706.0,servicios
2014-07-01,CNT EP,INTERNET,27577.0,servicios
2014-07-01,CNT EP,DATOS,119570.0,servicios
2014-07-01,CNT EP,TOTAL_EMPRESA,635920.0,servicios
2014-07-01,CNT EP,CHECK_SUM_SERVICIOS,635920.0,servicios
2014-07-01,TOTAL_MERCADO,TOTAL_MERCADO,18038456.0,servicios
2014-07-01,TOTAL_MERCADO,CHECK_SUM_TOTALES_EMPRESA,18038456.0,servicios
2014-08-01,CONECEL S.A.,TELEFONIA,9085311.0,servicios
2014-08-01,CONECEL S.A.,TELEFONIA E INTERNET,2629358.0,servicios
2014-08-01,CONECEL S.A.,INTERNET,383743.0,servicios
2014-08-01,CONECEL S.A.,DATOS,168144.0,servicios
2014-08-01,CONECEL S.A.,TOTAL_EMPRESA,12266556.0,servicios
2014-08-01,CONECEL S.A.,CHECK_SUM_SERVICIOS,12266556.0,servicios
2014-08-01,OTECEL S.A.,TELEFONIA,3615061.0,servicios
2014-08-01,OTECEL S.A.,TELEFONIA E INTERNET,1338919.0,servicios
2014-08-01,OTECEL S.A.,INTERNET,60834.0,servicios
2014-08-01,OTECEL S.A.,DATOS,133934.0,servicios
2014-08-01,OTECEL S.A.,TOTAL_EMPRESA,5148748.0,servicios
2014-08-01,OTECEL S.A.,CHECK_SUM_SERVICIOS,5148748.0,servicios
2014-08-01,CNT EP,TELEFONIA,383086.0,servicios
2014-08-01,CNT EP,TELEFONIA E INTERNET,119569.0,servicios
2014-08-01,CNT EP,INTERNET,27695.0,servicios
2014-08-01,CNT EP,DATOS,120332.0,servicios
2014-08-01,CNT EP,TOTAL_EMPRESA,650682.0,servicios
2014-08-01,CNT EP,CHECK_SUM_SERVICIOS,650682.0,servicios
2014-08-01,TOTAL_MERCADO,TOTAL_MERCADO,18065986.0,servicios
2014-08-01,TOTAL_MERCADO,CHECK_SUM_TOTALES_EMPRESA,18065986.0,servicios
2014-09-01,CONECEL S.A.,TELEFONIA,9102505.0,servicios
2014-09-01,CONECEL S.A.,TELEFONIA E INTERNET,2634993.0,servicios
2014-09-01,CONECEL S.A.,INTERNET,378753.0,servicios
2014-09-01,CONECEL S.A.,DATOS,163977.0,servicios
2014-09-01,CONECEL S.A.,TOTAL_EMPRESA,12280228.0,servicios
2014-09-01,CONECEL S.A.,CHECK_SUM_SERVICIOS,12280228.0,servicios
2014-09-01,OTECEL S.A.,TELEFONIA,3527955.0,servicios
2014-09-01,OTECEL S.A.,TELEFONIA E INTERNET,1326021.0,servicios
2014-09-01,OTECEL S.A.,INTERNET,57984.0,servicios
2014-09-01,OTECEL S.A.,DATOS,135303.0,servicios
2014-09-01,OTECEL S.A.,TOTAL_EMPRESA,5047263.0,servicios
2014-09-01,OTECEL S.A.,CHECK_SUM_SERVICIOS,5047263.0,servicios
2014-09-01,CNT EP,TELEFONIA,400353.0,servicios
2014-09-01,CNT EP,TELEFONIA E INTERNET,145844.0,servicios
2014-09-01,CNT EP,INTERNET,27405.0,servicios
2014-09-01,CNT EP,DATOS,120219.0,servicios
2014-09-01,CNT EP,TOTAL_EMPRESA,693821.0,servicios
2014-09-01,CNT EP,CHECK_SUM_SERVICIOS,693821.0,servicios
2014-09-01,TOTAL_MERCADO,TOTAL_MERCADO,18021312.0,servicios
2014-09-01,TOTAL_MERCADO,CHECK_SUM_TOTALES_EMPRESA,18021312.0,servicios
2014-10-01,CONECEL S.A.,TELEFONIA,8995671.0,servicios
2014-10-01,CONECEL S.A.,TELEFONIA E INTERNET,2742260.0,servicios
2014-10-01,CONECEL S.A.,INTERNET,378181.0,servicios
2014-10-01,CONECEL S.A.,DATOS,165322.0,servicios
2014-10-01,CONECEL S.A.,TOTAL_EMPRESA,12281434.0,servicios
2014-10-01,CONECEL S.A.,CHECK_SUM_SERVICIOS,12281434.0,servicios
2014-10-01,OTECEL S.A.,TELEFONIA,3453829.0,servicios
2014-10-01,OTECEL S.A.,TELEFONIA E INTERNET,1373696.0,servicios
2014-10-01,OTECEL S.A.,INTERNET,54377.0,servicios
2014-10-01,OTECEL S.A.,DATOS,144065.0,servicios
2014-10-01,OTECEL S.A.,TOTAL_EMPRESA,5025967.0,servicios
2014-10-01,OTECEL S.A.,CHECK_SUM_SERVICIOS,5025967.0,servicios
2014-10-01,CNT EP,TELEFONIA,395330.0,servicios
2014-10-01,CNT EP,TELEFONIA E INTERNET,172919.0,servicios
2014-10-01,CNT EP,INTERNET,29094.0,servicios
2014-10-01,CNT EP,DATOS,120287.0,servicios
2014-10-01,CNT EP,TOTAL_EMPRESA,717630.0,servicios
2014-10-01,CNT EP,CHECK_SUM_SERVICIOS,717630.0,servicios
2014-10-01,TOTAL_MERCADO,TOTAL_MERCADO,18025031.0,servicios
2014-10-01,TOTAL_MERCADO,CHECK_SUM_TOTALES_EMPRESA,18025031.0,servicios
2014-11-01,CONECEL S.A.,TELEFONIA,9033254.0,servicios
2014-11-01,CONECEL S.A.,TELEFONIA E INTERNET,2696313.0,servicios
2014-11-01,CONECEL S.A.,INTERNET,374131.0,servicios
2014-11-01,CONECEL S.A.,DATOS,166686.0,servicios
2014-11-01,CONECEL S.A.,TOTAL_EMPRESA,12270384.0,servicios
2014-11-01,CONECEL S.A.,CHECK_SUM_SERVICIOS,12270384.0,servicios
2014-11-01,OTECEL S.A.,TELEFONIA,3427410.0,servicios
2014-11-01,OTECEL S.A.,TELEFONIA E INTERNET,1368681.0,servicios
2014-11-01,OTECEL S.A.,INTERNET,51608.0,servicios
2014-11-01,OTECEL S.A.,DATOS,148238.0,servicios
2014-11-01,OTECEL S.A.,TOTAL_EMPRESA,4995937.0,servicios
2014-11-01,OTECEL S.A.,CHECK_SUM_SERVICIOS,4995937.0,servicios
2014-11-01,CNT EP,TELEFONIA,405316.0,servicios
2014-11-01,CNT EP,TELEFONIA E INTERNET,203675.0,servicios
2014-11-01,CNT EP,INTERNET,37097.0,servicios
2014-11-01,CNT EP,DATOS,120822.0,servicios
2014-11-01,CNT EP,TOTAL_EMPRESA,766910.0,servicios
2014-11-01,CNT EP,CHECK_SUM_SERVICIOS,766910.0,servicios
2014-11-01,TOTAL_MERCADO,TOTAL_MERCADO,18033231.0,servicios
2014-11-01,TOTAL_MERCADO,CHECK_SUM_TOTALES_EMPRESA,18033231.0,servicios
2014-12-01,CONECEL S.A.,TELEFONIA,8456251.0,servicios
2014-12-01,CONECEL S.A.,TELEFONIA E INTERNET,2782707.0,servicios
2014-12-01,CONECEL S.A.,INTERNET,368800.0,servicios
2014-12-01,CONECEL S.A.,DATOS,164262.0,servicios
2014-12-01,CONECEL S.A.,TOTAL_EMPRESA,11772020.0,servicios
2014-12-01,CONECEL S.A.,CHECK_SUM_SERVICIOS,11772020.0,servicios
2014-12-01,OTECEL S.A.,TELEFONIA,3401928.0,servicios
2014-12-01,OTECEL S.A.,TELEFONIA E INTERNET,1451696.0,servicios
2014-12-01,OTECEL S.A.,INTERNET,49259.0,servicios
2014-12-01,OTECEL S.A.,DATOS,152762.0,servicios
2014-12-01,OTECEL S.A.,TOTAL_EMPRESA,5055645.0,servicios
2014-12-01,OTECEL S.A.,CHECK_SUM_SERVICIOS,5055645.0,servicios
2014-12-01,CNT EP,TELEFONIA,373604.0,servicios
2014-12-01,CNT EP,TELEFONIA E INTERNET,231766.0,servicios
2014-12-01,CNT EP,INTERNET,49848.0,servicios
2014-12-01,CNT EP,DATOS,121674.0,servicios
2014-12-01,CNT EP,TOTAL_EMPRESA,776892.0,servicios
2014-12-01,CNT EP,CHECK_SUM_SERVICIOS,776892.0,servicios
2014-12-01,TOTAL_MERCADO,TOTAL_MERCADO,17604557.0,servicios
2014-12-01,TOTAL_MERCADO,CHECK_SUM_TOTALES_EMPRESA,17604557.0,servicios
2015-01-01,CONECEL S.A.,TELEFONIA,8002486.0,servicios
2015-01-01,CONECEL S.A.,TELEFONIA E INTERNET,2787666.0,servicios
2015-01-01,CONECEL S.A.,INTERNET,374942.0,servicios
2015-01-01,CONECEL S.A.,DATOS,165377.0,servicios
2015-01-01,CONECEL S.A.,TOTAL_EMPRESA,11330471.0,servicios
2015-01-01,CONECEL S.A.,CHECK_SUM_SERVICIOS,11330471.0,servicios
2015-01-01,OTECEL S.A.,TELEFONIA,3285587.0,servicios
2015-01-01,OTECEL S.A.,TELEFONIA E INTERNET,1553353.0,servicios
2015-01-01,OTECEL S.A.,INTERNET,46726.0,servicios
2015-01-01,OTECEL S.A.,DATOS,155878.0,servicios
2015-01-01,OTECEL S.A.,TOTAL_EMPRESA,5041544.0,servicios
2015-01-01,OTECEL S.A.,CHECK_SUM_SERVICIOS,5041544.0,servicios
2015-01-01,CNT EP,TELEFONIA,444553.0,servicios
2015-01-01,CNT EP,TELEFONIA E INTERNET,262575.0,servicios
2015-01-01,CNT EP,INTERNET,59446.0,servicios
2015-01-01,CNT EP,DATOS,122203.0,servicios
2015-01-01,CNT EP,TOTAL_EMPRESA,888777.0,servicios
2015-01-01,CNT EP,CHECK_SUM_SERVICIOS,888777.0,servicios
2015-01-01,TOTAL_MERCADO,TOTAL_MERCADO,17260792.0,servicios
2015-01-01,TOTAL_MERCADO,CHECK_SUM_TOTALES_EMPRESA,17260792.0,servicios
2015-02-01,CONECEL S.A.,TELEFONIA,7596752.0,servicios
2015-02-01,CONECEL S.A.,TELEFONIA E INTERNET,2735337.0,servicios
2015-02-01,CONECEL S.A.,INTERNET,376289.0,servicios
2015-02-01,CONECEL S.A.,DATOS,161636.0,servicios
2015-02-01,CONECEL S.A.,TOTAL_EMPRESA,10870014.0,servicios
2015-02-01,CONECEL S.A.,CHECK_SUM_SERVICIOS,10870014.0,servicios
2015-02-01,OTECEL S.A.,TELEFONIA,3291123.0,servicios
2015-02-01,OTECEL S.A.,TELEFONIA E INTERNET,1532477.0,servicios
2015-02-01,OTECEL S.A.,INTERNET,44324.0,servicios
2015-02-01,OTECEL S.A.,DATOS,170712.0,servicios
2015-02-01,OTECEL S.A.,TOTAL_EMPRESA,5038636.0,servicios
2015-02-01,OTECEL S.A.,CHECK_SUM_SERVICIOS,5038636.0,servicios
2015-02-01,CNT EP,TELEFONIA,472917.0,servicios
2015-02-01,CNT EP,TELEFONIA E INTERNET,290266.0,servicios
2015-02-01,CNT EP,INTERNET,60535.0,servicios
2015-02-01,CNT EP,DATOS,122149.0,servicios
2015-02-01,CNT EP,TOTAL_EMPRESA,945867.0,servicios
2015-02-01,CNT EP,CHECK_SUM_SERVICIOS,945867.0,servicios
2015-02-01,TOTAL_MERCADO,TOTAL_MERCADO,16854517.0,servicios
2015-02-01,TOTAL_MERCADO,CHECK_SUM_TOTALES_EMPRESA,16854517.0,servicios
2015-03-01,CONECEL S.A.,TELEFONIA,7122421.0,servicios
2015-03-01,CONECEL S.A.,TELEFONIA E INTERNET,2847289.0,servicios
2015-03-01,CONECEL S.A.,INTERNET,371060.0,servicios
2015-03-01,CONECEL S.A.,DATOS,164061.0,servicios
2015-03-01,CONECEL S.A.,TOTAL_EMPRESA,10504831.0,servicios
2015-03-01,CONECEL S.A.,CHECK_SUM_SERVICIOS,10504831.0,servicios
2015-03-01,OTECEL S.A.,TELEFONIA,2975713.0,servicios
2015-03-01,OTECEL S.A.,TELEFONIA E INTERNET,1533156.0,servicios
2015-03-01,OTECEL S.A.,INTERNET,42174.0,servicios
2015-03-01,OTECEL S.A.,DATOS,172342.0,servicios
2015-03-01,OTECEL S.A.,TOTAL_EMPRESA,4723385.0,servicios
2015-03-01,OTECEL S.A.,CHECK_SUM_SERVICIOS,4723385.0,servicios
2015-03-01,CNT EP,TELEFONIA,526045.0,servicios
2015-03-01,CNT EP,TELEFONIA E INTERNET,325043.0,servicios
2015-03-01,CNT EP,INTERNET,59090.0,servicios
2015-03-01,CNT EP,DATOS,122145.0,servicios
2015-03-01,CNT EP,TOTAL_EMPRESA,1032323.0,servicios
