date,excel_row,CHECK_SUM_TOTALES_EMPRESA,TOTAL_MERCADO,diff_mercado,check,company,CHECK_SUM_SERVICIOS,TOTAL_EMPRESA,diff_empresa,row_excel,raw_date,expected_date,parsed_raw_date,raw_date_unparseable,raw_date_mismatch_expected
2014-07-01,79.0,18038456.0,18038456.0,0.0,mercado,,,,,,,,,,
2014-08-01,80.0,18065986.0,18065986.0,0.0,mercado,,,,,,,,,,
2014-09-01,81.0,18021312.0,18021312.0,0.0,mercado,,,,,,,,,,
2014-10-01,82.0,18025031.0,18025031.0,0.0,mercado,,,,,,,,,,
2014-11-01,83.0,18033231.0,18033231.0,0.0,mercado,,,,,,,,,,
2014-12-01,84.0,17604557.0,17604557.0,0.0,mercado,,,,,,,,,,
2015-01-01,85.0,17260792.0,17260792.0,0.0,mercado,,,,,,,,,,
2015-02-01,86.0,16854517.0,16854517.0,0.0,mercado,,,,,,,,,,
2015-03-01,87.0,16260539.0,16260539.0,0.0,mercado,,,,,,,,,,
2015-04-01,88.0,16054363.0,16054363.0,0.0,mercado,,,,,,,,,,
2015-05-01,89.0,15793210.0,15793210.0,0.0,mercado,,,,,,,,,,
2015-06-01,90.0,15666883.0,15666883.0,0.0,mercado,,,,,,,,,,
2015-07-01,91.0,15117396.0,15117396.0,0.0,mercado,,,,,,,,,,
2015-08-01,92.0,14959698.0,14959698.0,0.0,mercado,,,,,,,,,,
2015-09-01,93.0,14755468.0,14755468.0,0.0,mercado,,,,,,,,,,
2015-10-01,94.0,14366993.0,14366993.0,0.0,mercado,,,,,,,,,,
2015-11-01,95.0,14122460.0,14122460.0,0.0,mercado,,,,,,,,,,
2015-12-01,96.0,13859020.0,13859020.0,0.0,mercado,,,,,,,,,,
2016-01-01,97.0,13833961.0,13833961.0,0.0,mercado,,,,,,,,,,
2016-02-01,98.0,13922619.0,13922619.0,0.0,mercado,,,,,,,,,,
2016-03-01,99.0,14022669.0,14022669.0,0.0,mercado,,,,,,,,,,
2016-04-01,100.0,14191494.0,14191494.0,0.0,mercado,,,,,,,,,,
2016-05-01,101.0,14227037.0,14227037.0,0.0,mercado,,,,,,,,,,
2016-06-01,102.0,14540064.0,14540064.0,0.0,mercado,,,,,,,,,,
2016-07-01,103.0,14721505.0,14721505.0,0.0,mercado,,,,,,,,,,
2016-08-01,104.0,14908215.0,14908215.0,0.0,mercado,,,,,,,,,,
2016-09-01,105.0,14844649.0,14844649.0,0.0,mercado,,,,,,,,,,
2016-10-01,106.0,14874375.0,14874375.0,0.0,mercado,,,,,,,,,,
2016-11-01,107.0,14742423.0,14742423.0,0.0,mercado,,,,,,,,,,
2016-12-01,108.0,14848134.0,14848134.0,0.0,mercado,,,,,,,,,,
2017-01-01,109.0,14873225.931236574,14873225.931236574,0.0,mercado,,,,,,,,,,
2017-02-01,110.0,14969481.0,14969481.0,0.0,mercado,,,,,,,,,,
2017-03-01,111.0,14971067.0,14971067.0,0.0,mercado,,,,,,,,,,
2017-04-01,112.0,15104467.0,15104467.0,0.0,mercado,,,,,,,,,,
2017-05-01,113.0,15061858.0,15061858.0,0.0,mercado,,,,,,,,,,
2017-06-01,114.0,14976771.0,14976771.0,0.0,mercado,,,,,,,,,,
2017-07-01,115.0,15055210.0,15055210.0,0.0,mercado,,,,,,,,,,
2017-08-01,116.0,15049997.0,15049997.0,0.0,mercado,,,,,,,,,,
2017-09-01,117.0,15037221.0,15037221.0,0.0,mercado,,,,,,,,,,
2017-10-01,118.0,14947399.0,14947399.0,0.0,mercado,,,,,,,,,,
2017-11-01,119.0,14915993.0,14915993.0,0.0,mercado,,,,,,,,,,
2017-12-01,120.0,14651404.0,14651404.0,0.0,mercado,,,,,,,,,,
2018-01-01,121.0,14726556.0,14726556.0,0.0,mercado,,,,,,,,,,
2018-02-01,122.0,14802099.0,14802099.0,0.0,mercado,,,,,,,,,,
2018-03-01,123.0,14893704.0,14893704.0,0.0,mercado,,,,,,,,,,
2018-04-01,124.0,15011861.0,15011861.0,0.0,mercado,,,,,,,,,,
2018-05-01,125.0,15114497.0,15114497.0,0.0,mercado,,,,,,,,,,
2018-06-01,126.0,15223552.0,15223552.0,0.0,mercado,,,,,,,,,,
2018-07-01,127.0,15383994.0,15383994.0,0.0,mercado,,,,,,,,,,
2018-08-01,128.0,15423114.0,15423114.0,0.0,mercado,,,,,,,,,,
2018-09-01,129.0,15548544.0,15548544.0,0.0,mercado,,,,,,,,,,
2018-10-01,130.0,15582936.0,15582936.0,0.0,mercado,,,,,,,,,,
2018-11-01,131.0,15668683.0,15668683.0,0.0,mercado,,,,,,,,,,
2018-12-01,132.0,15772838.0,15772838.0,0.0,mercado,,,,,,,,,,
2019-01-01,133.0,15841541.0,15841541.0,0.0,mercado,,,,,,,,,,
2019-02-01,134.0,15899579.0,15899579.0,0.0,mercado,,,,,,,,,,
2019-03-01,135.0,15896959.0,15896959.0,0.0,mercado,,,,,,,,,,
2019-04-01,136.0,15957061.0,15957061.0,0.0,mercado,,,,,,,,,,
2019-05-01,137.0,15949442.0,15949442.0,0.0,mercado,,,,,,,,,,
2019-06-01,138.0,15968846.0,15968846.0,0.0,mercado,,,,,,,,,,
2019-07-01,139.0,15870410.0,15870410.0,0.0,mercado,,,,,,,,,,
2019-08-01,140.0,15894418.0,15894418.0,0.0,mercado,,,,,,,,,,
2019-09-01,141.0,15844865.0,15844865.0,0.0,mercado,,,,,,,,,,
2019-10-01,142.0,15731751.0,15731751.0,0.0,mercado,,,,,,,,,,
2019-11-01,143.0,15776241.0,15776241.0,0.0,mercado,,,,,,,,,,
2019-12-01,144.0,15853100.0,15853100.0,0.0,mercado,,,,,,,,,,
2020-01-01,145.0,15906957.0,15906957.0,0.0,mercado,,,,,,,,,,
2020-02-01,146.0,15918458.0,15918458.0,0.0,mercado,,,,,,,,,,
2020-03-01,147.0,15779221.0,15779221.0,0.0,mercado,,,,,,,,,,
2020-04-01,148.0,15330886.0,15330886.0,0.0,mercado,,,,,,,,,,
2020-05-01,149.0,15001922.0,15001922.0,0.0,mercado,,,,,,,,,,
2020-06-01,150.0,14877776.0,14877776.0,0.0,mercado,,,,,,,,,,
2020-07-01,151.0,14757071.0,14757071.0,0.0,mercado,,,,,,,,,,
2020-08-01,152.0,14945800.0,14945800.0,0.0,mercado,,,,,,,,,,
2020-09-01,153.0,15070826.0,15070826.0,0.0,mercado,,,,,,,,,,
