date,excel_row,CHECK_SUM_TOTALES_EMPRESA,TOTAL_MERCADO,diff_mercado,check,company,CHECK_SUM_MODALIDADES,TOTAL_EMPRESA,diff_empresa,row_excel,raw_date,expected_date,parsed_raw_date,raw_date_unparseable,raw_date_mismatch_expected
2008-12-01,13.0,11692248.0,11692248.0,0.0,mercado,,,,,,,,,,
2009-01-01,14.0,11790957.0,11790957.0,0.0,mercado,,,,,,,,,,
2009-02-01,15.0,11899377.0,11899377.0,0.0,mercado,,,,,,,,,,
2009-03-01,16.0,12055574.0,12055574.0,0.0,mercado,,,,,,,,,,
2009-04-01,17.0,12135012.0,12135012.0,0.0,mercado,,,,,,,,,,
2009-05-01,18.0,12274935.0,12274935.0,0.0,mercado,,,,,,,,,,
2009-06-01,19.0,12370678.0,12370678.0,0.0,mercado,,,,,,,,,,
2009-07-01,20.0,12496611.0,12496611.0,0.0,mercado,,,,,,,,,,
2009-08-01,21.0,12638249.0,12638249.0,0.0,mercado,,,,,,,,,,
2009-09-01,22.0,12778577.0,12778577.0,0.0,mercado,,,,,,,,,,
2009-10-01,23.0,12930782.0,12930782.0,0.0,mercado,,,,,,,,,,
2009-11-01,24.0,13087943.0,13087943.0,0.0,mercado,,,,,,,,,,
2009-12-01,25.0,13454600.0,13454600.0,0.0,mercado,,,,,,,,,,
2010-01-01,26.0,13638487.0,13638487.0,0.0,mercado,,,,,,,,,,
2010-02-01,27.0,13772170.0,13772170.0,0.0,mercado,,,,,,,,,,
2010-03-01,28.0,13921436.0,13921436.0,0.0,mercado,,,,,,,,,,
2010-04-01,29.0,14059363.0,14059363.0,0.0,mercado,,,,,,,,,,
2010-05-01,30.0,14180956.0,14180956.0,0.0,mercado,,,,,,,,,,
2010-06-01,31.0,14315292.0,14315292.0,0.0,mercado,,,,,,,,,,
2010-07-01,32.0,14408060.0,14408060.0,0.0,mercado,,,,,,,,,,
2010-08-01,33.0,14529836.0,14529836.0,0.0,mercado,,,,,,,,,,
2010-09-01,34.0,14645796.0,14645796.0,0.0,mercado,,,,,,,,,,
2010-10-01,35.0,14769456.0,14769456.0,0.0,mercado,,,,,,,,,,
2010-11-01,36.0,14891181.0,14891181.0,0.0,mercado,,,,,,,,,,
2010-12-01,37.0,15118831.0,15118831.0,0.0,mercado,,,,,,,,,,
2011-01-01,38.0,15279037.0,15279037.0,0.0,mercado,,,,,,,,,,
2011-02-01,39.0,15414679.0,15414679.0,0.0,mercado,,,,,,,,,,
2011-03-01,40.0,15507340.0,15507340.0,0.0,mercado,,,,,,,,,,
2011-04-01,41.0,15553320.0,15553320.0,0.0,mercado,,,,,,,,,,
2011-05-01,42.0,15670691.0,15670691.0,0.0,mercado,,,,,,,,,,
2011-06-01,43.0,15748728.0,15748728.0,0.0,mercado,,,,,,,,,,
2011-07-01,44.0,15786384.0,15786384.0,0.0,mercado,,,,,,,,,,
2011-08-01,45.0,15846883.0,15846883.0,0.0,mercado,,,,,,,,,,
2011-09-01,46.0,15868012.0,15868012.0,0.0,mercado,,,,,,,,,,
2011-10-01,47.0,15897430.0,15897430.0,0.0,mercado,,,,,,,,,,
2011-11-01,48.0,15886233.0,15886233.0,0.0,mercado,,,,,,,,,,
2011-12-01,49.0,15874558.0,15874558.0,0.0,mercado,,,,,,,,,,
2012-01-01,50.0,15966052.0,15966052.0,0.0,mercado,,,,,,,,,,
2012-02-01,51.0,16071687.0,16071687.0,0.0,mercado,,,,,,,,,,
2012-03-01,52.0,16146158.0,16146158.0,0.0,mercado,,,,,,,,,,
2012-04-01,53.0,16232506.0,16232506.0,0.0,mercado,,,,,,,,,,
2012-05-01,54.0,16342688.0,16342688.0,0.0,mercado,,,,,,,,,,
2012-06-01,55.0,16393215.0,16393215.0,0.0,mercado,,,,,,,,,,
2012-07-01,56.0,16432588.0,16432588.0,0.0,mercado,,,,,,,,,,
2012-08-01,57.0,16484544.0,16484544.0,0.0,mercado,,,,,,,,,,
2012-09-01,58.0,16552738.0,16552738.0,0.0,mercado,,,,,,,,,,
2012-10-01,59.0,16776649.0,16776649.0,0.0,mercado,,,,,,,,,,
2012-11-01,60.0,16922001.0,16922001.0,0.0,mercado,,,,,,,,,,
2012-12-01,61.0,17086863.0,17086863.0,0.0,mercado,,,,,,,,,,
2013-01-01,62.0,17237823.0,17237823.0,0.0,mercado,,,,,,,,,,
2013-02-01,63.0,17357175.0,17357175.0,0.0,mercado,,,,,,,,,,
2013-03-01,64.0,17402572.0,17402572.0,0.0,mercado,,,,,,,,,,
